Pram,Oram,Pstorage,Ostorage,Pnetwork,Onetwork,Pcpu,Ocpu,Phost,OHost,Pvm,Ovm
54.54545455,88.73517787,36.56666667,2.633333333,61.04,58.28,62.8,54,1,1,1,1
53.95256917,25.29644269,35.51666667,37.75,62.32,56.28,57.6,81.6,1,1,2,2
56.71936759,85.77075099,35.2,2.366666667,61.08,6.4,57.6,90.8,1,1,3,3
54.34782609,85.77075099,35.08333333,36.96666667,62.44,5.28,57.6,51.6,1,1,4,4
57.11462451,82.80632411,38.26666667,37.11666667,57.44,59.84,54.8,32,2,2,5,5
54.54545455,59.48616601,36.93333333,36.53333333,62.76,56.68,60.8,58,2,2,6,6
59.28853755,87.35177866,36.68333333,2.766666667,63.76,57.8,51.6,56.4,2,2,7,7
52.17391304,28.45849802,36.98333333,71.45,60.48,57.28,65.2,49.6,2,2,8,8
56.91699605,31.22529644,38.21666667,69.75,55.84,58.08,51.6,61.6,3,3,9,9
62.64822134,92.68774704,34.95,2.466666667,57.96,6.4,57.2,84.4,3,3,10,10
59.09090909,57.31225296,38.23333333,36,61.68,57.84,58.4,54.4,3,3,11,11
53.95256917,57.50988142,35.1,35.86666667,58.8,5.76,54,86.4,3,3,12,12
60.07905138,29.64426877,37.93333333,35.85,60.8,63.96,57.2,87.2,4,4,13,13
57.11462451,30.83003953,36.63333333,37.48333333,59.08,63.56,58,82,4,4,14,14
61.46245059,24.50592885,34.81666667,37.43333333,64.84,59.04,66.4,82.8,4,4,15,15
54.743083,83.00395257,37.63333333,36.9,63.44,60.04,57.2,32.4,4,4,16,16
54.34782609,59.28853755,38.95,35.56666667,59.52,62.8,61.2,50.4,5,5,17,17
58.89328063,57.70750988,38.01666667,37.95,56.04,61.2,51.2,65.2,5,5,18,18
61.26482213,28.06324111,38.63333333,71.63333333,58.32,62.72,59.6,59.2,5,5,19,19
57.70750988,57.90513834,38.73333333,35.61666667,59.56,59.72,64.8,66.4,5,5,20,20
58.1027668,85.37549407,37,2.333333333,59.08,61.8,55.2,54.8,6,6,21,21
61.06719368,82.60869565,36.68333333,36.18333333,56.76,5.92,60.8,62.4,6,6,22,22
60.07905138,59.48616601,37.01666667,69.15,58.72,6.08,56,52,6,6,23,23
65.01976285,87.94466403,35.26666667,35.96666667,57.28,61.48,59.2,29.2,6,6,24,24
62.64822134,85.37549407,38.21666667,70.51666667,58.44,6.32,54.8,34,7,7,25,25
63.43873518,31.22529644,36.53333333,69.9,60.16,5.76,54,86,7,7,26,26
56.32411067,28.85375494,36.25,72.13333333,62.56,60.16,54,65.6,7,7,27,27
55.7312253,52.76679842,35.88333333,70.83333333,63.52,63.48,62.8,36.8,7,7,28,28
58.69565217,62.64822134,37.86666667,2.233333333,61.16,63.04,59.2,91.6,8,8,29,29
59.88142292,85.17786561,35.91666667,2.366666667,56.52,60.6,56,55.6,8,8,30,30
61.26482213,57.11462451,37.61666667,2.533333333,57.92,58.16,58,87.6,8,8,31,31
57.50988142,61.26482213,35.88333333,37.51666667,58.84,59.16,51.2,60,8,8,32,32
62.05533597,60.86956522,37.75,2.1,59.76,57.4,60.4,81.2,9,9,33,33
57.11462451,60.67193676,38.2,2.566666667,60.12,62.08,52.8,90.8,9,9,34,34
60.4743083,58.49802372,38.41666667,36.75,59.16,57.96,58.8,58.4,9,9,35,35
50.98814229,60.67193676,37.9,2.566666667,62.4,56.96,56.4,86.4,9,9,36,36
60.27667984,25.6916996,35.91666667,70.7,58.08,59.28,56.8,55.2,10,10,37,37
60.67193676,60.67193676,36.43333333,36.96666667,62.64,59.28,58.4,56.8,10,10,38,38
50.19762846,85.57312253,37.23333333,69.06666667,56.72,6.16,48.8,32,10,10,39,39
53.16205534,86.75889328,36.58333333,70.65,56,6.64,51.2,29.6,10,10,40,40
57.31225296,53.16205534,36.61666667,2.166666667,59.68,59.4,58,92.4,11,11,41,41
56.32411067,59.88142292,37.83333333,2,63.04,60.28,60,77.6,11,11,42,42
57.11462451,89.32806324,35.41666667,2.533333333,60.84,62.96,54.8,66,11,11,43,43
62.64822134,54.34782609,36.86666667,71.06666667,59.4,60.28,55.6,34.4,11,11,44,44
56.91699605,51.18577075,37.95,2.4,56.76,57.32,57.2,84.4,12,12,45,45
58.49802372,82.80632411,37.83333333,35.61666667,61.64,58.56,53.2,30,12,12,46,46
56.32411067,55.7312253,36.61666667,70.78333333,60.88,59.76,60,32,12,12,47,47
62.45059289,64.03162055,36.65,2.7,63.04,63.96,56.8,87.2,12,12,48,48
57.70750988,61.46245059,36.35,2.2,57.8,60.72,57.2,91.6,13,13,49,49
53.75494071,65.61264822,36.41666667,2.766666667,57.04,60.96,58.4,82,13,13,50,50
65.2173913,58.89328063,36.2,2.633333333,58.04,58.08,51.2,86,13,13,51,51
58.30039526,82.21343874,35.1,2.766666667,57.92,5.44,61.2,82.8,13,13,52,52
58.89328063,95.256917,36.83333333,38.36666667,59.24,62.56,63.2,29.2,14,14,53,53
58.49802372,62.8458498,35.93333333,71.96666667,56.24,60.28,63.2,27.6,14,14,54,54
53.75494071,57.11462451,36.9,70.46666667,56.32,57.16,60,31.2,14,14,55,55
56.52173913,59.28853755,36.55,2.833333333,62.52,63.2,60.8,80.4,14,14,56,56
52.96442688,60.27667984,36.25,72.51666667,58.72,62.92,52,32.8,15,15,57,57
59.68379447,54.94071146,36.28333333,35.33333333,61,59.04,58.4,57.2,15,15,58,58
65.81027668,29.64426877,36.25,37.55,62.92,61.88,62,82.4,15,15,59,59
64.82213439,52.56916996,36.08333333,2.466666667,59.48,58.6,56.8,83.6,15,15,60,60
56.71936759,55.33596838,36.91666667,38.26666667,59.84,62.52,60,61.6,16,16,61,61
55.7312253,86.75889328,36.26666667,35.51666667,63.92,57.64,64,27.6,16,16,62,62
60.4743083,88.14229249,37.46666667,37.11666667,62.92,60,62.4,26.4,16,16,63,63
59.88142292,82.80632411,35.76666667,1.833333333,58.64,62.44,49.2,58.4,16,16,64,64
55.53359684,89.5256917,35.66666667,37.2,58.32,60.84,52.4,30.4,17,17,65,65
59.09090909,89.13043478,37.8,37.31666667,55.48,62.76,64.8,31.6,17,17,66,66
53.55731225,26.87747036,36.66666667,72.18333333,59.92,56.8,59.2,53.2,17,17,67,67
60.86956522,58.89328063,35.61666667,35.28333333,56.88,59.92,56,56,17,17,68,68
61.66007905,63.24110672,38.58333333,36.21666667,57.92,61.04,52.8,54.4,18,18,69,69
62.05533597,54.743083,38.13333333,37.98333333,61.6,64.2,50.4,52,18,18,70,70
61.66007905,64.42687747,36.8,35.28333333,61.72,62.32,51.2,60.4,18,18,71,71
55.7312253,30.43478261,37.4,36.85,58.68,61.08,58,88.8,18,18,72,72
60.4743083,89.92094862,38.03333333,2.833333333,57.4,64.52,50.4,60.8,19,19,73,73
61.26482213,83.00395257,35.35,2.6,55.56,64.84,54.8,58.8,19,19,74,74
56.91699605,56.71936759,35.88333333,35.81666667,58.6,63.04,52.4,54.8,19,19,75,75
59.88142292,61.85770751,35.58333333,70.15,60.84,61.04,55.6,27.2,19,19,76,76
60.27667984,28.06324111,35.6,71.7,58.16,62.68,66,65.6,20,20,77,77
57.50988142,86.75889328,36.23333333,36.48333333,63,57.6,60.8,30.4,20,20,78,78
54.743083,86.75889328,36.46666667,37.65,59.6,56,59.2,29.6,20,20,79,79
52.76679842,29.24901186,36.91666667,37.81666667,56.96,57.6,50,85.2,20,20,80,80
55.33596838,57.90513834,38.2,69.35,59.52,63.28,58.8,28.8,21,21,81,81
55.33596838,32.80632411,37.86666667,70.73333333,62.8,64.8,52.4,60,21,21,82,82
60.86956522,28.45849802,36,38.5,57.24,56.92,62,81.6,21,21,83,83
54.34782609,90.31620553,37.38333333,2.4,61.04,61.68,53.6,54.4,21,21,84,84
55.92885375,57.90513834,37.91666667,38.05,62.52,62.52,56,58,22,22,85,85
60.27667984,62.45059289,37.78333333,73.31666667,58.92,57.8,58,30,22,22,86,86
60.27667984,54.15019763,35.95,69.11666667,61.28,63,57.2,31.2,22,22,87,87
56.71936759,65.41501976,37.66666667,2.5,58,61.36,54.8,85.6,22,22,88,88
50.79051383,29.64426877,38.48333333,70.6,57.8,62.24,58.4,63.2,23,23,89,89
60.67193676,52.56916996,36.88333333,72.15,63.36,64.12,49.2,23.2,23,23,90,90
56.91699605,91.10671937,34.83333333,2.966666667,59.16,59.16,59.6,58.8,23,23,91,91
57.90513834,63.43873518,38.25,73.1,61.92,57.28,54,27.2,23,23,92,92
60.4743083,33.59683794,37.36666667,71.88333333,58.92,58.92,61.6,56.4,24,24,93,93
63.83399209,54.743083,35.46666667,2.066666667,60.2,61.48,54.8,86.4,24,24,94,94
57.31225296,59.68379447,38.1,70.68333333,62.36,62.84,52,31.2,24,24,95,95
53.55731225,56.91699605,36.65,73.31666667,59.96,58.64,57.6,22,24,24,96,96
54.743083,57.70750988,37.16666667,37.35,57.4,57.52,57.2,55.6,25,25,97,97
56.71936759,58.69565217,38.65,72.76666667,61.12,58.12,58.4,32,25,25,98,98
56.12648221,34.7826087,35.53333333,34.85,63.24,58.28,61.6,85.2,25,25,99,99
57.70750988,57.50988142,37.83333333,2.9,59.52,59.84,51.2,88.4,25,25,100,100
52.76679842,53.95256917,37.01666667,36.3,63.8,62.72,49.2,57.2,26,26,101,101
59.68379447,55.92885375,34.95,70.66666667,56.96,58.32,64,34.8,26,26,102,102
57.50988142,26.08695652,37.96666667,36.01666667,59.88,58.24,57.2,80,26,26,103,103
61.46245059,26.08695652,37.61666667,36.53333333,63.4,63.48,49.6,88.8,26,26,104,104
64.42687747,85.96837945,36.23333333,2.666666667,57.6,56.96,50,58,27,27,105,105
59.28853755,88.14229249,36.28333333,38.4,57.4,62.04,56.8,30,27,27,106,106
57.50988142,85.57312253,35.58333333,35.18333333,57.04,62.2,57.6,28.8,27,27,107,107
55.13833992,60.27667984,36.03333333,38.41666667,61.44,59.76,52,54,27,27,108,108
63.24110672,86.75889328,37.95,37.3,57.56,60.56,55.6,28,28,28,109,109
59.88142292,51.58102767,36.16666667,73.26666667,60.04,59.04,57.2,29.2,28,28,110,110
60.27667984,84.98023715,37.83333333,37.16666667,62.08,63.48,57.2,33.6,28,28,111,111
68.18181818,26.08695652,36.16666667,72.03333333,59.08,61.96,57.6,59.6,28,28,112,112
61.06719368,87.74703557,36.58333333,38.36666667,61.2,63.6,62.4,33.2,29,29,113,113
52.56916996,28.85375494,1.766666667,35.63333333,56.68,63.12,48.8,78,29,29,114,114
46.64031621,85.96837945,1.933333333,2.733333333,61.48,57.96,51.2,57.6,29,29,115,115
51.38339921,60.07905138,1.5,72.96666667,57.4,61.96,54.4,28.4,29,29,116,116
43.08300395,53.16205534,1.433333333,35.73333333,2.56,59,41.2,57.6,30,30,117,117
37.94466403,27.27272727,0.766666667,72.51666667,1.84,60.6,10,56.8,30,30,118,118
38.93280632,53.95256917,0.766666667,71.71666667,1.28,56.24,7.6,36.4,30,30,119,119
38.53754941,61.26482213,0.5,2.333333333,1.84,62.08,8,93.2,30,30,120,120
35.37549407,61.66007905,0.566666667,2.266666667,1.04,59.44,4.8,79.6,31,31,121,121
33.7944664,89.72332016,0.6,38.35,1.28,57.28,6.8,24,31,31,122,122
38.33992095,11.85770751,0.7,1.1,1.68,60.36,6,40.4,31,31,123,123
37.35177866,6.324110672,0.466666667,0.833333333,1.36,54.28,6.4,7.6,31,31,124,124
38.93280632,5.138339921,0.6,0.633333333,0.96,55.08,7.2,8.8,32,32,125,125
35.96837945,6.719367589,0.566666667,0.6,2,57.88,9.2,8.8,32,32,126,126
38.14229249,7.509881423,0.7,0.8,0.96,53.04,8.4,10,32,32,127,127
38.93280632,5.533596838,0.766666667,0.8,1.84,57.72,7.2,9.6,32,32,128,128
38.53754941,7.90513834,0.6,0.666666667,1.28,56.4,4.8,5.6,33,33,129,129
36.56126482,7.90513834,0.7,0.566666667,1.28,52.6,6.4,5.6,33,33,130,130
37.35177866,8.695652174,0.433333333,0.4,2,58.32,5.2,8.8,33,33,131,131
35.17786561,7.509881423,0.466666667,0.533333333,1.68,56.68,6.8,5.6,33,33,132,132
37.35177866,0,0.6,0,1.44,0,8,0,34,34,133,133
34.7826087,0,0.5,0,1.84,0,6.8,0,34,34,134,134
33.99209486,0,0.466666667,0,1.84,0,4.8,0,34,34,135,135
34.58498024,0,0.6,0,1.76,0,6.8,0,34,34,136,136
38.73517787,0,0.566666667,0,1.36,0,5.6,0,35,35,137,137
39.13043478,0,0.4,0,1.44,0,7.2,0,35,35,138,138
35.77075099,0,0.466666667,0,1.92,0,8.4,0,35,35,139,139
36.36363636,0,0.6,0,1.28,0,9.6,0,35,35,140,140
